output_path,output_type,run_id,timestamp_utc,source_script_function,stage,model_family,feature_set,hyperparameters,calibration_status,data_split,prediction_file,seed,git_commit,notes
data\processed\graph_features.parquet,processed graph features,run_20260726T095610Z,2026-07-26T09:56:38+00:00,src.graph_features.build_graph_features,graph_features,,,{},,all nodes and completed graph snapshots,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,"Primary models use five node-level features, including snapshot-normalized PageRank; total_degree excluded; weak_component_size separate."
data\processed\graph_features.csv,processed graph features,run_20260726T095610Z,2026-07-26T09:56:38+00:00,src.graph_features.build_graph_features,graph_features,,,{},,all nodes and completed graph snapshots,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,"Primary models use five node-level features, including snapshot-normalized PageRank; total_degree excluded; weak_component_size separate."
results\final\graph_feature_metadata.json,processed graph features,run_20260726T095610Z,2026-07-26T09:56:38+00:00,src.graph_features.build_graph_features,graph_features,,,{},,all nodes and completed graph snapshots,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,"Primary models use five node-level features, including snapshot-normalized PageRank; total_degree excluded; weak_component_size separate."
results\final\graph_feature_pooled_statistics.csv,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
results\final\graph_feature_within_time_statistics.csv,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
results\final\weak_component_snapshot_context.csv,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
figures\final\graph_feature_distributions.png,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
figures\final\within_time_effects.png,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
figures\final\weak_component_snapshot_context.png,statistical result and figure,run_20260726T095610Z,2026-07-26T09:56:46+00:00,src.statistics.run_analysis,statistics,,,{},,labeled observations; pooled and within-time-step descriptive analyses,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Holm-adjusted tests and correctly named rank-biserial correlation.
results\final\split_summary.csv,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
results\final\split_manifest.parquet,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
results\final\default_model_metrics.csv,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
results\final\default_model_predictions.parquet,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
figures\final\default_model_ablation.png,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_logistic_regression_dataset_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_logistic_regression_graph_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_logistic_regression_combined.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_random_forest_dataset_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_random_forest_graph_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_random_forest_combined.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_xgboost_dataset_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_xgboost_graph_only.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
models\final\default_xgboost_combined.joblib,default model ablation,run_20260726T095610Z,2026-07-26T09:57:54+00:00,src.modeling.run_default_ablation,modeling,,,{},,train 1-30; calibration 31-35 unused here; threshold selection 36-40; final test 41-49,results\final\default_model_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All nine default comparisons. Logistic regression preprocessing is train-fitted; tree models are unscaled; thresholds selected on the operating-selection block only.
results\final\temporal_tuning_fold_results.csv,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\xgboost_candidate_cv_summary.csv,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\xgboost_candidate_metrics.csv,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\tuned_xgboost_metrics.csv,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\aligned_incremental_test_predictions.parquet,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\incremental_value_inference.json,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\snapshot_size_sensitivity.json,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:33+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\operational_model_selection.json,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\operational_raw_predictions.parquet,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
models\final\xgboost_default_dataset_only.joblib,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
models\final\xgboost_tuned_dataset_only.joblib,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
models\final\xgboost_default_combined.joblib,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
models\final\xgboost_tuned_combined.joblib,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
models\final\xgboost_tuned_combined_with_snapshot_size.joblib,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
figures\final\xgboost_candidate_comparison.png,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
figures\final\paired_delta_bootstrap.png,temporal candidate selection and incremental-value inference,run_20260726T095610Z,2026-07-26T10:19:34+00:00,src.tuning.run_tuning,tuning,XGBoost,,{},,temporal CV/model selection within 1-30; calibration 31-35; operating selection 36-40; final test 41-49,results\final\operational_raw_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Default and tuned dataset-only/combined candidates were evaluated on identical temporal folds; the final test was not used for selection.
results\final\calibrated_operational_predictions.parquet,"calibration model, predictions, metrics, and figure",run_20260726T095610Z,2026-07-26T10:19:37+00:00,src.calibration.run_calibration,calibration,XGBoost + sigmoid calibrator,,{},calibrator fitted on dedicated calibration block only,fit 31-35; operating selection 36-40; evaluate 41-49,results\final\calibrated_operational_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Raw outputs remain model scores; calibrated values are reported as probabilities.
results\final\calibration_metrics.json,"calibration model, predictions, metrics, and figure",run_20260726T095610Z,2026-07-26T10:19:37+00:00,src.calibration.run_calibration,calibration,XGBoost + sigmoid calibrator,,{},calibrator fitted on dedicated calibration block only,fit 31-35; operating selection 36-40; evaluate 41-49,results\final\calibrated_operational_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Raw outputs remain model scores; calibrated values are reported as probabilities.
models\final\calibration_block_sigmoid_calibrator.joblib,"calibration model, predictions, metrics, and figure",run_20260726T095610Z,2026-07-26T10:19:37+00:00,src.calibration.run_calibration,calibration,XGBoost + sigmoid calibrator,,{},calibrator fitted on dedicated calibration block only,fit 31-35; operating selection 36-40; evaluate 41-49,results\final\calibrated_operational_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Raw outputs remain model scores; calibrated values are reported as probabilities.
figures\final\calibration_curve.png,"calibration model, predictions, metrics, and figure",run_20260726T095610Z,2026-07-26T10:19:37+00:00,src.calibration.run_calibration,calibration,XGBoost + sigmoid calibrator,,{},calibrator fitted on dedicated calibration block only,fit 31-35; operating selection 36-40; evaluate 41-49,results\final\calibrated_operational_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Raw outputs remain model scores; calibrated values are reported as probabilities.
results\final\operating_alert_budget_analysis.csv,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\final_test_alert_budget_analysis.csv,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\authoritative_test_predictions.parquet,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\authoritative_operating_and_test_predictions.parquet,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\case_studies.csv,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\alert_budget_selection.json,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
figures\final\alert_budget_operating.png,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
figures\final\alert_budget_final_test.png,"alert-budget results, authoritative predictions, and case selection",run_20260726T095610Z,2026-07-26T10:19:39+00:00,src.alert_budget.run_alert_analysis,alert_budget,,,{},calibrated probabilities available; ranking uses raw model score,calibration fit 31-35; budget selected 36-40 and frozen before 41-49 application,results\final\authoritative_test_predictions.parquet,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,All final operational figures must derive from the authoritative prediction file.
results\final\shap_feature_importance.csv,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
results\final\shap_metadata.json,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
results\final\permutation_importance.csv,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
results\final\permutation_importance_metadata.json,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\permutation_importance_top15.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\shap_summary.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\shap_dependence_top.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\case_true_positive_waterfall.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\case_false_positive_waterfall.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\case_false_negative_waterfall.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
figures\final\case_true_negative_waterfall.png,SHAP and permutation-importance outputs,run_20260726T095610Z,2026-07-26T10:20:47+00:00,src.explainability.run_explainability,explainability,authoritative tuned_dataset_only for SHAP; best combined candidate for permutation importance,dataset_only,{},,labeled final test 41-49,,42,3b4218f7fbc4e363d384f525e4240a9407d2e465,Anonymized supplied features are not given behavioral interpretations.
